번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
4233,(주)지피앤피,이양규,제조업,서울 강남구,2017-12-09,
4234,(주)코리나,남미란,제조업,충북 진천군,2017-12-09,
4235,(주)동양아이스,김기형,제조업,경기 용인시,2017-11-19,
4236,주식회사루트앤루트,이재용,도매및소매업,부산 금정구,2017-12-09,
4237,(주)칼라원,정태호,제조업,대구 중구,2017-12-09,
4238,동양산기(주),강석경,건설업,경남 창원시,2017-12-09,
4239,(주)지에스교역,정태호,도매및소매업,서울 광진구,2017-12-09,
4240,조아기프트(주),김재점,제조업,서울 금천구,2017-12-09,
4241,(주) 강탄산업,김우기,제조업,경기 하남시,2017-11-19,
4242,(주)성신엔지니어링,방정수,제조업,경기 부천시,2017-11-19,
4243,경도와이에스엠㈜,이명순,사업서비스업,서울 강남구,2017-12-09,
4244,(주)하인스,박준서,건설업,경기 군포시,2017-12-09,
4245,(주)키네티코이엔에스,박창우,도매및소매업,서울 동대문구,2017-12-09,
4246,청보산업(주),안상욱,제조업,인천 남동구,2017-12-09,
4247,유파코리아(주),김덕빈,기타,서울 은평구,2017-12-09,
4248,충북사슴영농조합법인,안종호,제조업,충북 청주시,2017-12-09,
4249,엘코어코퍼레이션,이정아,도매및소매업,경기 성남시,2017-12-09,
4250,동립철강(주),김동근,도매및소매업,경기 시흥시,2017-12-09,
4251,(주)엔코스,홍성훈,제조업,경기 오산시,2017-11-19,
4252,(주)삼영필텍,구경회,제조업,서울 금천구,2017-11-19,
4253,포천모노레일(주),황무영,도매및소매업,경기 포천시,2017-12-09,
4254,두리씨앤에스(주),정경아,사업서비스업,경기 부천시,2017-12-09,
4255,(주)히트코 (HITCO),서홍삼,기타,경남 창원시,2017-12-09,
4256,(주)한국석유,박정옥,도매및소매업,충북 충주시,2017-12-09,
4257,(주)태영,한병찬,기타,경기 안양시,2017-12-09,
4258,(주)대광아스콘,임철수,제조업,경기 여주시,2017-12-09,
4259,(주)현대금속농공,한석수,제조업,충남 천안시,2017-12-10,
4260,(주)화신상사,안호성,도매및소매업,대전 서구,2017-12-10,
4261,우신전자산업(주),심순택,제조업,대전 중구,2017-12-10,
4262,서광전기통신공사(주),임희일,건설업,대전 서구,2017-12-10,
4263,세풍지업상사,정헌화,도매및소매업,대전 동구,2017-12-10,
4264,(주) 구 정,최정혜,도매및소매업,강원 강릉시,2017-12-10,
4265,(주)유앤오일넷,김병구,도매및소매업,전북 군산시,2017-12-11,
4266,(주)광성공사,추태온,제조업,인천 서구,2017-12-11,
4267,한진종합화학(주),정한성,제조업,경남 김해시,2017-12-11,
4268,(주)친절콜시스템,한창훈,기타,서울 중랑구,2017-12-11,
4269,다원환경건설(주),안주병,건설업,서울 광진구,2017-12-11,
4270,(주)에이프러스,어범,제조업,경기 용인시,2017-12-12,
4271,(주)비주,김순임,제조업,경기 파주시,2017-12-12,
4272,(주)에스디엠케이,최희정,사업서비스업,서울 마포구,2017-12-12,
4273,(주)육인테크,조갑훈,제조업,경기 안산시,2017-12-12,
4274,(주) 봉진건설,신관휴,건설업,경기 용인시,2017-12-12,
4275,코엘 코퍼레이션 주식회사,우은렬,도매및소매업,서울 영등포구,2017-12-12,
4276,계명산업(주),박유훈,제조업,경기 화성시,2017-12-12,
4277,하이스트종합건설(주),목진성,건설업,서울 서초구,2017-12-12,
4278,(주)에스디엠엔씨,조성정,사업서비스업,서울 마포구,2017-12-12,
4279,주식회사 삼전,장정헌,제조업,충북 청원군,2017-12-13,
4280,농업회사법인(주)제일A&H,오재갑,도매및소매업,전남 담양군,2017-12-13,
4281,(주)대양콘크리트,정종택,제조업,전남 담양군,2017-12-13,
4282,주식회사 극동선재,안승헌,제조업,충북 진천군,2017-12-13,
4283,(주)서희정보기술,서경필,제조업,광주 북구,2017-12-13,
4284,(주)청진시스템,진정아,기타,부산 해운대구,2017-12-14,
4285,진성정밀,황종원,제조업,경남 진주시,2017-12-14,www.jinsungwire.co.kr
4286,(주)덕우에스엔씨,차재성,도매및소매업,서울 영등포구,2017-12-14,
4287,아이제트포그,배현식,제조업,경남 김해시,2017-12-14,
4288,대동,이진현,제조업,인천 남동구,2017-12-14,
4289,화신기업(주),정인봉,건설업,강원 강릉시,2017-12-14,
4290,욱일산업(주),김광석,제조업,경북 영천시,2017-12-14,
4291,삼지건설(주),이태원,건설업,부산 금정구,2017-12-14,
4292,현재산업,조용수,제조업,강원 원주시,2017-12-14,
4293,대승로지스틱스(주),채명기,운수업,서울 금천구,2017-12-14,
4294,네오다큐,이주희,기타,인천 남구,2017-12-15,
4295,(주)팬스타라인닷컴,김현겸,기타,부산 중구,2017-12-15,
4296,유화산업개발(주),이상찬,건설업,울산 남구,2017-12-15,
4297,(주)공단신도시주유소,권순옥,도매및소매업,부산 기장군,2017-12-15,
4298,에스제이건설(주),전성봉,건설업,경기 광주시,2017-12-15,
4299,이인개발(주),김관호,건설업,강원 고성군,2017-12-15,
4300,주식회사 대동오토플러스,이진현,제조업,전북 군산시,2017-12-15,
4301,(주)진명산업개발,정상태,사업서비스업,광주 서구,2017-12-15,
4302,주식회사 김천베아링,정중영,도매및소매업,부산 사상구,2017-12-15,
4303,세일산업(주),이상정,제조업,경기 김포시,2017-12-15,
4304,주식회사 제이비엘,이준배,제조업,충북 청주시,2017-12-16,
4305,(주)서창기전,박광서,도매및소매업,경기 수원시,2017-12-16,
4306,(주)태성,김종학,제조업,경기 안산시,2017-12-16,www.finevent.com
4307,그린이엔지주식회사,김병철,건설업,울산 울주군,2017-12-16,
4308,미래데코,김천웅,제조업,경기 양주시,2017-12-16,
4309,(주)유민에쓰티,유동근,제조업,경기 안양시,2017-12-16,
4310,(주)두성이앤티,박동진,제조업,경기 시흥시,2017-12-16,
4311,주식회사 온빛,김충덕,제조업,경기 화성시,2017-12-16,
4312,(주)유림산업,임한철,제조업,경기 시흥시,2017-12-16,
4313,대아테크(주),우희석,제조업,충남 천안시,2017-12-16,
4314,유니슨음향(주),홍석일,제조업,경기 부천시,2017-12-16,
4315,다온산업(주),한욱섭,제조업,경기 평택시,2017-12-16,
4316,(주)코리아보드게임즈,김길오,도매및소매업,경기 파주시,2017-12-16,
4317,(주) 합동하이텍그라스,이성모,제조업,충북 음성군,2017-12-16,
4318,주식회사 세딕스,김영애,사업서비스업,충북 청주시,2017-12-16,
4319,(주)국제,권혁민,제조업,충북 음성군,2017-12-16,
4320,프로서비스(주),황우현,운수업,전남 순천시,2017-12-16,
4321,청풍종합관리(주),박세헌,기타,충북 청주시,2017-12-16,
4322,누리산업(주),정성균,제조업,경기 오산시,2017-12-16,
4323,(주)트루텍,강종구,제조업,충남 천안시,2017-12-16,
4324,리클라인,이연환,도매및소매업,부산 사하구,2017-12-16,
4325,(주)대광가스켓트,권오복,제조업,경기 안산시,2017-12-16,
4326,동남무역,안용범,제조업,부산 사상구,2017-12-16,
4327,진광산업(주),김장렬,제조업,경기 광주시,2017-12-16,
4328,(주)토마스,성용규,제조업,경기 안양시,2017-12-16,
4329,(주)대성FNT,김태현,제조업,부산 강서구,2017-12-16,
4330,대아기업(주),강정윤,제조업,경남 거제시,2017-12-17,
4331,대흥기계단조(주),계현,제조업,인천 서구,2017-12-17,
4332,삼성가스공업주식회사,박종정,제조업,인천 남동구,2017-12-17,
4333,오리엔트화학(주),김의호,제조업,경기 안산시,2017-12-18,
4334,삼일환경(주),김동석,사업서비스업,경북 포항시,2017-12-18,
4335,(주)에듀씨에스,김홍,제조업,서울 종로구,2017-12-18,
4336,창해산업 주식회사,김연수,건설업,서울 서초구,2017-12-18,
4337,(주)예진상사,엄재성,제조업,서울 송파구,2017-12-18,
4338,두성프린트,이인경외 1명,제조업,서울 중구,2017-12-18,
4339,(유)광성산업개발,송해용,사업서비스업,전남 여수시,2017-12-18,
4340,(주)한스코리아,한상균,제조업,인천 강화군,2017-12-18,
4341,스콥정보통신(주),김찬우,제조업,서울 서초구,2017-12-18,
4342,초록들 코리아주식회사,정재호,제조업,대구 북구,2017-12-18,
4343,영광금속,장관섭,제조업,경기 부천시,2017-12-18,
4344,(주)풍안,이동조,제조업,경기 화성시,2017-12-18,
4345,(주)창원정공,임무송,제조업,대구 북구,2017-12-18,
4346,(주)일주코리아,한영노,도매및소매업,경남 김해시,2017-12-18,
4347,반도인쇄사,김성줄,제조업,부산 부산진구,2017-12-18,
4348,미그린산업(주),박진영,제조업,충북 청주시,2017-12-18,
4349,(주)태림에프웰,박기석,제조업,경기 김포시,2017-12-18,
4350,(주)태웅산업,김남식,제조업,경북 경주시,2017-12-18,
4351,(주)동성앙카,한병원,제조업,경기 안산시,2017-12-18,
4352,아신산업(주),"김재수, 김동기",제조업,대구 달서구,2017-12-18,
4353,유한회사 고산개발,지부임,사업서비스업,광주 동구,2017-12-19,
4354,(주)에스지맥스,서정남,기타,부산시,2017-12-19,
4355,(주)아신,김홍규,도매및소매업,서울 강남구,2017-12-20,
4356,(주)에이에스티글로벌,배진홍,도매및소매업,서울 서초구,2017-12-20,
4357,(주)두조원,김형수,건설업,서울 마포구,2017-12-20,
4358,(주)미니센스,오민혜,제조업,서울 종로구,2017-12-20,
4359,이레안전시스템주식회사,강수령,사업서비스업,서울 송파구,2017-12-20,
4360,(주)화수텍스타일,이용균,도매및소매업,서울 구로구,2017-12-20,
4361,주식회사 시원시스템,천정순,사업서비스업,충남 당진시,2017-12-20,
4362,주식회사 주천약품,이성원,도매및소매업,서울 동대문구,2017-12-20,
4363,동서모토체인(주),박오근,도매및소매업,서울 금천구,2017-12-20,
4364,(주)유니메딕스,양주석,제조업,서울 서초구,2017-12-20,
4365,대양마린(주),조두남,도매및소매업,부산 해운대구,2017-12-21,
4366,주식회사엔오티에스,박남미,제조업,서울 강남구,2017-12-21,
4367,글로벌에이티시(주),안정아,사업서비스업,서울 마포구,2017-12-21,
4368,주식회사 제이앤엘,정기섭,제조업,서울 성동구,2017-12-21,
4369,주식회사 파파벨라,이영미,제조업,서울 서초구,2017-12-21,
4370,신화하이텍(주),송성수,제조업,부산 강서구,2017-12-21,
4371,주식회사아세아마린테크,조호정,제조업,부산 강서구,2017-12-21,
4372,(주)나비스,소대성,제조업,전북 전주시,2017-12-21,
4373,(주)마이크임팩트,한동헌,"오락,문화 및 운동관련서비스업",서울 종로구,2017-12-21,
4374,피쉬앤미트(주),장영권,도매및소매업,서울 강남구,2017-12-21,
4375,(주)신미화건설,유금송,건설업,서울 강남구,2017-12-21,
4376,(주)엔피알티,정보용,제조업,부산 사하구,2017-12-21,
4377,(주)디앤디기술,민태영,사업서비스업,서울 서초구,2017-12-21,
4378,(주)지미션,김두현,사업서비스업,서울 성동구,2017-12-21,
4379,주식회사 다한울축산,주연심,제조업,강원 원주시,2017-12-22,
4380,(주)봉견,안영조,제조업,경남 창녕군,2017-12-22,
4381,(주)큐렉스,김학보,도매및소매업,경기 하남시,2017-12-23,
4382,흥성기획,박광현,제조업,서울 중구,2017-12-23,
4383,(주)비티에스투,허정임,사업서비스업,부산 영도구,2017-12-23,
4384,(주)삼은,황학연,제조업,서울 광진구,2017-12-23,
4385,주식회사에스위너스,신중조,제조업,부산 해운대구,2017-12-23,
4386,(주)명일제작,김헌장,제조업,경기 안산시,2017-12-23,
4387,(주)골드앤드실버,최승규,제조업,서울 성동구,2017-12-23,
4388,동국성신(주),강신우 강국창,제조업,인천 남동구,2017-12-23,
4389,진원,문혜원,도매및소매업,경기 성남시,2017-12-23,
4390,(주)다우에스앤티,안윤근,도매및소매업,경기 성남시,2017-12-23,
4391,(주)현진메인티넌스,조은경,기타,서울 강서구,2017-12-23,
4392,주식회사 지에이,이연우,도매및소매업,경기 성남시,2017-12-23,
4393,전일산업피팅(주),김경오,도매및소매업,서울 금천구,2017-12-23,
4394,(주)진우식품,박성휘,도매및소매업,대구 동구,2017-12-23,
4395,(주)에프아이에스,이민석,제조업,경기 안성시,2017-12-23,
4396,(주)범산시스텍,김성우,제조업,경기 용인시,2017-12-25,
4397,(주)파트라,한상국,제조업,경기 안산시,2017-12-25,
4398,(주)한라해운,김동현,운수업,경기 고양시,2017-12-25,
4399,고려부품(주),박창규,도매및소매업,경기 안양시,2017-12-25,
4400,(주)푸드코아,김영식,제조업,경기 성남시,2017-12-25,
4401,(주)케이팩코퍼레이션,양혜경,제조업,경기 안산시,2017-12-25,
4402,(주)제일,윤홍현,제조업,전남 담양군,2017-12-25,
4403,다인휴즈,전태화,제조업,경기 부천시,2017-12-25,
4404,(주)고려안전시스템,이성호,사업서비스업,충남 당진시,2017-12-25,
4405,우림화학주식회사,최주백,제조업,경북 경산시,2017-12-25,
4406,(주)일웅상사,이계영,제조업,경기 성남시,2017-12-25,
4407,로뎀월드시스템,김종우,제조업,경기 남양주시,2017-12-25,
4408,부영자원주식회사,윤 칠 선,제조업,충남 연기군,2017-12-25,
4409,(주)얼라이드시스템,조창현,도매및소매업,대구 북구,2017-12-25,
4410,(주)미래테크윈,한동권,제조업,인천 남동구,2017-12-27,
4411,(주)성원아이에스엠,이옥분,제조업,서울 동대문구,2017-12-27,
4412,동성콘크리트공업(주),황보라,제조업,경기 여주시,2017-12-27,
4413,세광식품(주),김경배,제조업,경기 파주시,2017-12-27,
4414,인도로가는길(주),정동주,기타,서울 종로구,2017-12-28,
4415,남방CNA주식회사,김종혁,제조업,경기 평택시,2017-12-28,
4416,정성디엔엠,노경미,사업서비스업,서울 용산구,2017-12-28,
4417,한디자인코퍼레이션,강인한,제조업,서울 중구,2017-12-28,
4418,(주)이데아인터렉티브,손희주,사업서비스업,서울 강동구,2017-12-28,
4419,(주)에스엘,박명선,제조업,경기 안산시,2017-12-28,
4420,(주)신흥금속,홍병권,도매및소매업,부산 사상구,2017-12-29,
4421,삼성종합인쇄사,이성우,제조업,충남 천안시,2017-12-29,
4422,대동기공,남성백,제조업,부산 강서구,2017-12-29,
4423,(주)이룸기계설비,배백호,건설업,세종 장군면,2017-12-29,
4424,웰스씨앤티(주),최태식,제조업,서울 영등포구,2017-12-29,
4425,(주)크로니아이티,이해관,사업서비스업,서울 송파구,2017-12-29,
4426,성하물류,윤석찬,제조업,경북 영천시,2017-12-29,
4427,(주)태인케미컬,엄지호,제조업,경기 김포시,2017-12-29,
4428,(주)인투케어,김병국,제조업,경기 양주시,2017-12-29,
4429,대영기공,유영덕,제조업,울산 북구,2017-12-29,
4430,다성테크놀로지,초은석,제조업,대전 대덕구,2017-12-29,
4431,삼보과학(주),김원경,제조업,서울 강서구,2017-12-29,
4432,상일전산폼주식회사,김병순,제조업,경기 파주시,2017-12-29,
4433,(유)대신신재생산업,김동수,사업서비스업,전북 전주시,2017-12-29,
4434,대현이앤아이(주),정일성,제조업,서울 강남구,2017-12-29,
4435,(주)서호아트개발,김종섭,건설업,충북 진천군,2017-12-30,
4436,(주)에스제이리드테크,신효재,제조업,경남 창원시,2017-12-30,
4437,(주)대원아트,박무일,제조업,대구 수성구,2017-12-30,
4438,동진산업(주),박진혁,제조업,경북 경산시,2017-12-30,
4439,(주)승진그린텍,양성완,제조업,경남 밀양시,2017-12-30,
4440,(주)오즈네이쳐,김대식,제조업,충북 청주시,2017-12-30,
4441,농업회사법인 준코청정푸드밸리(주),류경열,제조업,충북 괴산군,2017-12-30,
4442,영도목재(주),양종광,제조업,인천 남동구,2018-01-01,
4443,주식회사 프리죤,"김영열, 최승식",사업서비스업,인천 연수구,2018-01-01,
4444,(주)영덕레미콘,조주웅,제조업,경북 영덕군,2018-01-04,
4445,(주)고려창호,최상기,제조업,서울 서초구,2018-01-04,
4446,(주)아이디일공일일,김영효,기타,서울 서초구,2018-01-04,
4447,영해레미콘(주),조철로,제조업,경북 영덕군,2018-01-04,
4448,세흥섬유,오종두,제조업,대구 달서구,2018-01-04,
4449,(주)서호산전,김승호,건설업,전남 광양시,2018-01-05,
4450,(유)전일콘크리트,송호현,제조업,전북 완주군,2018-01-05,
4451,대청해운(주),이한호,운수업,서울 영등포구,2018-01-05,
4452,다홍문화,윤태근,제조업,서울 중구,2018-01-05,
4453,엠에스센타(주),임채윤,도매및소매업,울산 울주군,2018-01-06,
4454,시선디자인,백낙렬,제조업,부산 서구,2018-01-06,
4455,동유(주),"명희정,김미경",사업서비스업,대전 중구,2018-01-06,
4456,신우스틸주식회사,변성태,제조업,부산 강서구,2018-01-06,
4457,(주)산드리공조,황재환,도매및소매업,서울 동대문구,2018-01-07,
4458,(주)소프트베르크,김경호,도매및소매업,서울 강남구,2018-01-07,
4459,한동문화사,황문식,제조업,서울 중구,2018-01-07,
4460,(주)대륜엘리스,이기랑,제조업,서울 금천구,2018-01-07,
4461,(주)우양텍스타일,우종오,제조업,대구 북구,2018-01-07,
4462,케이에이치특장(주),이형섭,제조업,경기 화성시,2017-12-09,
4463,(주)에코로바,조병근,제조업,서울 동작구,2018-01-07,
4464,대원상사,김대화,도매및소매업,강원 삼척시,2018-01-07,
4465,신진레미콘(주),박중한,제조업,대구 북구,2018-01-07,
4466,주식회사대아포장산업사,박종헌,제조업,경기 용인시,2018-01-08,
4467,(주)윌네트,배재철,건설업,경남 진주시,2018-01-08,
4468,준영산업,이효자,제조업,경기 김포시,2018-01-08,
4469,(주)부광기업,정병용,사업서비스업,광주 남구,2018-01-08,
4470,(주)경남금속,장종락,제조업,경기 화성시,2018-01-08,
4471,(주)성도피엔에이,김규형,사업서비스업,경기 성남시,2018-01-08,
4472,동서교역,이상각,도매및소매업,대전 대덕구,2018-01-08,
4473,(주)관우공영,김학관,제조업,경기 시흥시,2018-01-08,
4474,(주)자이드,김규만,제조업,경기 군포시,2018-01-08,
4475,(주)문다소,김 종록,제조업,경기 화성시,2018-01-08,
4476,고려유리(주),김준기,건설업,서울 광진구,2018-01-11,
4477,(주)유트로닉스,이길웅,제조업,경기 안양시,2018-01-11,
4478,(주)한성더스트킹,최경채,제조업,경기 김포시,2017-06-16,
4479,신성종합인쇄,김혁철,제조업,경기 고양시,2018-01-11,
4480,서광케미칼(주),이강옥,도매및소매업,경기 성남시,2018-01-11,
4481,(주)에너테크,박훈양,제조업,경기 성남시,2018-01-11,
4482,한양스터드용접(주),조현규,제조업,경기 시흥시,2018-01-11,
4483,(주)삼본퍼프,김시욱,제조업,경기 용인시,2018-01-11,
4484,하나리빙,박정호,제조업,경기 고양시,2018-01-11,
4485,(주)경암,김기정,사업서비스업,경기 고양시,2018-01-11,
4486,(주)월드 케미칼,박재희,제조업,강원 춘천시,2018-01-11,
4487,주식회사 마세다린,정태환,제조업,경기 용인시,2018-01-11,
4488,초원환경산업(주),정연석,기타,강원 양양군,2018-01-11,
4489,(주)씨앤비에프에스,정정욱,도매및소매업,서울 성동구,2018-01-11,
4490,여명텍스,공석모,제조업,대구 달서구,2018-01-11,
4491,주식회사 웨이브피아,장혜경,사업서비스업,서울 송파구,2018-01-11,
4492,신도시공영개발(주),최은옥,사업서비스업,경기 고양시,2018-01-11,
4493,(주)태형,권형기,건설업,경기 이천시,2018-01-11,
4494,삼원폴리텍(주),김헌기,제조업,충남 천안시,2018-01-12,
4495,한빛제어,이덕화,제조업,경북 영주시,2018-01-12,
4496,유엘피(주),백준석,제조업,충남 아산시,2018-01-12,
4497,(주)비앤에스산업,장미경,사업서비스업,대구 중구,2018-01-12,
4498,유틸테크(주),노형국,제조업,경기 안양시,2017-12-09,
4499,(주)원엔터프라이즈,허영철,사업서비스업,부산 부산진구,2018-01-12,
4500,(주)성경,천상용,제조업,경남 창원시,2018-01-12,
4501,(주)영일전자,김영남,제조업,경기 안양시,2017-12-22,
4502,(주)제이엠시,정화,제조업,경북 경주시,2018-01-12,
4503,(주)두성엔지니어링,신광춘,제조업,경기 용인시,2018-01-12,
4504,(주)서림산기제1공장,이종철,제조업,경남 창원시,2018-01-12,
4505,제이씨케미칼(주),김찬민,제조업,충북 진천군,2018-01-12,
4506,(주)동원건축사사무소,임관빈,건설업,경기 시흥시,2018-01-12,
4507,(주)현우특수기업,박옥수,운수업,부산 중구,2018-01-12,
4508,(주)유니켐산업,조남석,제조업,충북 진천군,2018-01-12,
4509,원대금속,최재영,제조업,대구 서구,2018-01-12,
4510,(주)휴먼앤잡,송인필,사업서비스업,전북 전주시,2018-01-12,
4511,성진산업기계,정창수,제조업,경남 창원시,2018-01-12,
4512,동연개발(주),김민정,사업서비스업,인천 부평구,2018-01-12,
4513,(주)휴먼시스,문기남,사업서비스업,대전 동구,2018-01-12,
4514,(주)광진티엘에스,김경호,사업서비스업,부산 남구,2018-01-12,
4515,쌍용전력(주),강철수,제조업,부산 강서구,2018-01-12,
4516,주식회사 이지,박수영,제조업,전남 화순군,2018-01-12,
4517,중앙알엔티(주),윤을철,제조업,경기 김포시,2018-01-12,
4518,(주)유성냉장,차남석,도매및소매업,광주 광산구,2018-01-12,
4519,제일판금(주),박덕만,제조업,경기 시흥시,2018-01-12,
4520,(주)오라컴,정태국,제조업,경기 평택시,2018-01-13,
4521,광주코레곤,김재광,도매및소매업,광주 광산구,2018-01-13,
4522,유한회사 동두산업,김두현,제조업,충남 아산시,2018-01-13,
4523,(주)두메촌,심상신,도매및소매업,경기 하남시,2018-01-13,
4524,(주)모바일컨버전스,이상화,기타,경기 성남시,2018-01-13,
4525,한미공작기계(주),이만규,도매및소매업,경기 시흥시,2018-01-13,
4526,(주)지에이테크,송재열,제조업,충남 아산시,2018-01-13,
4527,팜스코(주),임점동,건설업,세종 아래깊은내길,2018-01-13,
4528,창성주식회사,정찬수,제조업,충남 아산시,2018-01-13,
4529,(주)영흥산업환경,이준길,사업서비스업,충남 천안시,2018-01-13,
4530,(주)삼도통신,이정경,건설업,서울 마포구,2018-01-14,
4531,성일전산정보주식회사,장길호,제조업,서울 중구,2018-01-14,
4532,(주)윈플랜,"김광인, 김길수",건설업,서울 양천구,2018-01-14,
4533,(주)케이티에스,성기문,사업서비스업,서울 마포구,2018-01-14,
4534,태영특수프린테크,유광진,제조업,서울 중구,2018-01-14,
4535,아진문화,양장수,제조업,서울 중구,2018-01-14,
4536,(주)위비스,도상현,제조업,서울 성동구,2018-01-14,
4537,(주)메가커뮤니케이션,윤현덕,사업서비스업,서울 마포구,2018-01-14,
4538,피엠케이 코리이(PMK KOREA),김기연외1명,제조업,서울 중랑구,2018-01-14,
4539,로비트코리아(주),유까 루오마,제조업,강원 동해시,2018-01-14,
4540,평창한우마을영농조합법인,김진훈,도매및소매업,강원 평창군,2018-01-14,
4541,주식회사 디투엘,이두희,사업서비스업,서울 영등포구,2018-01-14,
4542,(주)용원시스템,박진성,도매및소매업,서울 서초구,2018-01-14,
4543,현대종합관리(주),"김길종,오종철",사업서비스업,광주 동구,2018-01-14,
4544,엘림네트웍스(주),이경욱,제조업,인천 서구,2018-01-15,
4545,대륙스틸,김재우,제조업,대구 북구,2018-01-15,
4546,퓨어앤텍(주),공봉규,제조업,경기 화성시,2018-01-15,
4547,중앙에너지주식회사,이정길,건설업,인천 연수구,2018-01-15,
4548,(유)맑은누리,권미옥,사업서비스업,전북 전주시,2018-01-15,
4549,주식회사 디피아이씨앤에스,윤옥헌,사업서비스업,인천 동구,2018-01-15,
4550,홍성정공(주),이재홍,제조업,경남 양산시,2018-01-15,
4551,아이디어테크,김진하,제조업,경기 화성시,2018-01-15,
4552,(주)에이치에스씨,이영근,도매및소매업,경기 성남시,2018-01-15,
4553,(주) 코스모스삼에스,"박영진, 이옥이",사업서비스업,서울 동대문구,2018-01-16,
4554,(주)푸른환경코리아,정희석,사업서비스업,서울 관악구,2018-01-16,
4555,태양탑스(주),이선우,제조업,경기 여주시,2018-01-18,
4556,(주)유텍시스템,이유정,제조업,경기 화성시,2018-01-18,
4557,동우산업,강혜은,제조업,경기 광주시,2018-01-18,
4558,대신네트웍스(주),안동우,건설업,경기 평택시,2018-01-18,www.itdaesin.net
4559,(주)이케이씨,강민구,기타,경기 군포시,2018-01-18,
4560,문정Library system,김남기,도매및소매업,부산 사상구,2018-01-18,
4561,(주)충주산업,강성덕,제조업,충북 충주시,2018-01-18,
4562,청우물산(주),박종화,제조업,경기 화성시,2018-01-18,
4563,(주)인산엠티에스,정현모,도매및소매업,경기 안양시,2018-01-18,
4564,주식회사한빛단조,박정원,제조업,경기 화성시,2018-01-18,
4565,대흥피앤피주식회사,이민범,제조업,경기 화성시,2018-01-18,
4566,스마트디엔에스(주),"이명근, 강구철",제조업,경기 화성시,2018-01-18,
4567,디에이치푸드(주),김도형,도매및소매업,경기 하남시,2018-01-18,
4568,(주)경원유압기계,이경복,제조업,인천 남동구,2018-01-18,
4569,(유)신성공조시스템,박학수,건설업,전북 전주시,2018-01-18,
4570,삼호화성,조중환,제조업,경기 화성시,2018-01-18,
4571,유림정경,최형욱,제조업,대구 동구,2018-01-19,
4572,주식회사 정진플랜트설비,손호식,건설업,충북 청주시,2018-01-19,
4573,에스앤마리,이명희,제조업,경북 경산시,2018-01-19,
4574,신원인터내셔날(주),유병희,사업서비스업,충남 천안시,2018-01-19,
4575,(주)하나플래시,안종혁,제조업,서울 용산구,2018-01-19,
4576,농업회사법인 동방제유(주),남정호,제조업,경북 영천시,2018-01-19,
4577,(합)자성산업,한순애,제조업,충남 태안군,2018-01-19,
4578,(주)승정,구자춘,제조업,충남 아산시,2018-01-19,
4579,시스템이레,백남호,제조업,대구 북구,2018-01-19,
4580,티제이에이치씨(주),오영석,도매및소매업,전북 전주시,2018-01-19,
4581,(주)선일플라스틱,서선옥,제조업,경북 경주시,2018-01-19,
4582,(주)제이엘,박은영,제조업,충북 청주시,2018-01-19,
4583,엔젤상사,남 경식,제조업,충북 청주시,2018-01-19,
4584,(주)에스제이케미칼,권성섭,도매및소매업,부산 금정구,2018-01-20,
4585,우주화학공업사,신상규,제조업,부산 사상구,2018-01-20,
4586,태양농산(주),이상근,제조업,충북 제천시,2018-01-21,
4587,(주)일진알미늄,이경은,도매및소매업,경기 용인시,2018-01-21,
4588,주식회사 대동강업,천인수,제조업,대전 대덕구,2018-01-21,
4589,미림유통,임병열,도매및소매업,경남 창원시,2018-01-21,
4590,트롤네트웍스,김상열,건설업,대전 동구,2018-01-21,
4591,(주)대한주택종합관리,이영옥,사업서비스업,인천 남동구,2018-01-21,
4592,프리던 텔레콤,이희승,도매및소매업,대전 서구,2018-01-21,
4593,주식회사 에스티건설,유희선,건설업,경기 안양시,2018-01-21,
4594,프리트리,허남옥,제조업,서울 송파구,2018-01-21,
4595,대호특수강,윤창훈,제조업,경남 창원시,2018-01-21,
4596,(주)지구마그넷,박철,제조업,경기 고양시,2018-01-21,
4597,고려정공,장세정,제조업,경남 함안군,2018-01-21,
4598,주식회사삼원절연,박종락,제조업,경기 화성시,2018-01-21,
4599,(합자)원광석재,허근,제조업,경남 거창군,2018-01-21,
4600,수정전자산업(주),홍효준,제조업,서울 서대문구,2018-01-21,
4601,만정정밀,김순만,제조업,경기 평택시,2018-01-21,
4602,경북지하수개발,김준영,건설업,경북 영천시,2018-01-21,
4603,(주)청해맨파워,이동섭,사업서비스업,인천 남구,2018-01-21,
4604,기쁨과행복(주),김윤곤,제조업,경기 안산시,2018-01-21,
4605,(주)연성기업,연제권,제조업,충북 청주시,2018-01-21,
4606,(주)마하니트,김형진,제조업,서울 구로구,2018-01-21,
4607,(주)케이알피,김영희,도매및소매업,경기 안양시,2018-01-21,
4608,한성정밀,이두성,제조업,대구 북구,2018-01-21,
4609,주식회사가우테크닉스,나충용,제조업,경기 남양주시,2018-01-21,
4610,칸 KAN,김유숙,도매및소매업,서울 서초구,2018-01-21,
4611,디씨에스이엔지(주),최인성,제조업,충북 청주시,2018-01-21,
4612,주식회사 청원환경,박명순,사업서비스업,인천 남동구,2018-01-21,
4613,제주웰빙영농조합법인,이욱기,도매및소매업,제주 제주시,2018-01-24,
4614,(주)힘펠,김정환,제조업,경기 화성시,2018-01-24,
